id,book_id,book,chapter,verse,text
97,1,Genesis,4,17,"And Cain knew his wife; and she conceived, and bare Enoch: and he builded a city, and called the name of the city, after the name of his son, Enoch."
98,1,Genesis,4,18,And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
99,1,Genesis,4,19,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah."
100,1,Genesis,4,20,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle."
101,1,Genesis,4,21,And his brother's name was Jubal: he was the father of all such as handle the harp and organ.
102,1,Genesis,4,22,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah."
103,1,Genesis,4,23,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt."
104,1,Genesis,4,24,"If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold."
105,1,Genesis,4,25,"And Adam knew his wife again; and she bare a son, and called his name Seth: For God, said she, hath appointed me another seed instead of Abel, whom Cain slew."
106,1,Genesis,4,26,"And to Seth, to him also there was born a son; and he called his name Enos: then began men to call upon the name of the LORD."
107,1,Genesis,5,1,"This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;"
108,1,Genesis,5,2,"Male and female created he them; and blessed them, and called their name Adam, in the day when they were created."
109,1,Genesis,5,3,"And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:"
110,1,Genesis,5,4,And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
111,1,Genesis,5,5,And all the days that Adam lived were nine hundred and thirty years: and he died.
112,1,Genesis,5,6,"And Seth lived an hundred and five years, and begat Enos:"
113,1,Genesis,5,7,"And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:"
114,1,Genesis,5,8,And all the days of Seth were nine hundred and twelve years: and he died.
115,1,Genesis,5,9,"And Enos lived ninety years, and begat Cainan:"
116,1,Genesis,5,10,"And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:"
117,1,Genesis,5,11,And all the days of Enos were nine hundred and five years: and he died.
118,1,Genesis,5,12,And Cainan lived seventy years and begat Mahalaleel:
119,1,Genesis,5,13,"And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:"
120,1,Genesis,5,14,And all the days of Cainan were nine hundred and ten years: and he died.
121,1,Genesis,5,15,"And Mahalaleel lived sixty and five years, and begat Jared:"
122,1,Genesis,5,16,"And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:"
123,1,Genesis,5,17,And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
124,1,Genesis,5,18,"And Jared lived an hundred sixty and two years, and he begat Enoch:"
125,1,Genesis,5,19,"And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:"
126,1,Genesis,5,20,And all the days of Jared were nine hundred sixty and two years: and he died.
127,1,Genesis,5,21,"And Enoch lived sixty and five years, and begat Methuselah:"
128,1,Genesis,5,22,"And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:"
129,1,Genesis,5,23,And all the days of Enoch were three hundred sixty and five years:
130,1,Genesis,5,24,And Enoch walked with God: and he was not; for God took him.
131,1,Genesis,5,25,"And Methuselah lived an hundred eighty and seven years, and begat Lamech."
132,1,Genesis,5,26,"And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:"
133,1,Genesis,5,27,And all the days of Methuselah were nine hundred sixty and nine years: and he died.
134,1,Genesis,5,28,"And Lamech lived an hundred eighty and two years, and begat a son:"
135,1,Genesis,5,29,"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed."
136,1,Genesis,5,30,"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
137,1,Genesis,5,31,And all the days of Lamech were seven hundred seventy and seven years: and he died.
138,1,Genesis,5,32,"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth."
139,1,Genesis,6,1,"And it came to pass, when men began to multiply on the face of the earth, and daughters were born unto them,"
140,1,Genesis,6,2,That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.
141,1,Genesis,6,3,"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years."
142,1,Genesis,6,4,"There were giants in the earth in those days; and also after that, when the sons of God came in unto the daughters of men, and they bare children to them, the same became mighty men which were of old, men of renown."
143,1,Genesis,6,5,"And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
144,1,Genesis,6,6,"And it repented the LORD that he had made man on the earth, and it grieved him at his heart."
145,1,Genesis,6,7,"And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repenteth me that I have made them."
146,1,Genesis,6,8,But Noah found grace in the eyes of the LORD.
147,1,Genesis,6,9,"These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God."
148,1,Genesis,6,10,"And Noah begat three sons, Shem, Ham, and Japheth."
149,1,Genesis,6,11,"The earth also was corrupt before God, and the earth was filled with violence."
150,1,Genesis,6,12,"And God looked upon the earth, and, behold, it was corrupt; for all flesh had corrupted his way upon the earth."
151,1,Genesis,6,13,"And God said unto Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth."
152,1,Genesis,6,14,"Make thee an ark of gopher wood; rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
153,1,Genesis,6,15,"And this is the fashion which thou shalt make it of: The length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
154,1,Genesis,6,16,"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in the side thereof; with lower, second, and third stories shalt thou make it."
155,1,Genesis,6,17,"And, behold, I, even I, do bring a flood of waters upon the earth, to destroy all flesh, wherein is the breath of life, from under heaven; and every thing that is in the earth shall die."
156,1,Genesis,6,18,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee."
157,1,Genesis,6,19,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female."
158,1,Genesis,6,20,"Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive."
159,1,Genesis,6,21,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them."
160,1,Genesis,6,22,"Thus did Noah; according to all that God commanded him, so did he."
161,1,Genesis,7,1,"And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation."
162,1,Genesis,7,2,"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female."
163,1,Genesis,7,3,"Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth."
164,1,Genesis,7,4,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth."
165,1,Genesis,7,5,And Noah did according unto all that the LORD commanded him.
166,1,Genesis,7,6,And Noah was six hundred years old when the flood of waters was upon the earth.
167,1,Genesis,7,7,"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."
168,1,Genesis,7,8,"Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,"
169,1,Genesis,7,9,"There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah."
170,1,Genesis,7,10,"And it came to pass after seven days, that the waters of the flood were upon the earth."
171,1,Genesis,7,11,"In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
172,1,Genesis,7,12,And the rain was upon the earth forty days and forty nights.
173,1,Genesis,7,13,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark;"
174,1,Genesis,7,14,"They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
175,1,Genesis,7,15,"And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life."
176,1,Genesis,7,16,"And they that went in, went in male and female of all flesh, as God had commanded him: and the LORD shut him in."
177,1,Genesis,7,17,"And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth."
178,1,Genesis,7,18,"And the waters prevailed, and were increased greatly upon the earth; and the ark went upon the face of the waters."
179,1,Genesis,7,19,"And the waters prevailed exceedingly upon the earth; and all the high hills, that were under the whole heaven, were covered."
180,1,Genesis,7,20,Fifteen cubits upward did the waters prevail; and the mountains were covered.
181,1,Genesis,7,21,"And all flesh died that moved upon the earth, both of fowl, and of cattle, and of beast, and of every creeping thing that creepeth upon the earth, and every man:"
182,1,Genesis,7,22,"All in whose nostrils was the breath of life, of all that was in the dry land, died."
183,1,Genesis,7,23,"And every living substance was destroyed which was upon the face of the ground, both man, and cattle, and the creeping things, and the fowl of the heaven; and they were destroyed from the earth: and Noah only remained alive, and they that were with him in the ark."
184,1,Genesis,7,24,And the waters prevailed upon the earth an hundred and fifty days.
185,1,Genesis,8,1,"And God remembered Noah, and every living thing, and all the cattle that was with him in the ark: and God made a wind to pass over the earth, and the waters assuaged;"
186,1,Genesis,8,2,"The fountains also of the deep and the windows of heaven were stopped, and the rain from heaven was restrained;"
187,1,Genesis,8,3,And the waters returned from off the earth continually: and after the end of the hundred and fifty days the waters were abated.
188,1,Genesis,8,4,"And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
189,1,Genesis,8,5,"And the waters decreased continually until the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen."
190,1,Genesis,8,6,"And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:"
191,1,Genesis,8,7,"And he sent forth a raven, which went forth to and fro, until the waters were dried up from off the earth."
192,1,Genesis,8,8,"Also he sent forth a dove from him, to see if the waters were abated from off the face of the ground;"
193,1,Genesis,8,9,"But the dove found no rest for the sole of her foot, and she returned unto him into the ark, for the waters were on the face of the whole earth: then he put forth his hand, and took her, and pulled her in unto him into the ark."
194,1,Genesis,8,10,And he stayed yet other seven days; and again he sent forth the dove out of the ark;
195,1,Genesis,8,11,"And the dove came in to him in the evening; and, lo, in her mouth was an olive leaf plucked off: so Noah knew that the waters were abated from off the earth."
196,1,Genesis,8,12,And he stayed yet other seven days; and sent forth the dove; which returned not again unto him any more.
197,1,Genesis,8,13,"And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried up from off the earth: and Noah removed the covering of the ark, and looked, and, behold, the face of the ground was dry."
198,1,Genesis,8,14,"And in the second month, on the seven and twentieth day of the month, was the earth dried."
199,1,Genesis,8,15,"And God spake unto Noah, saying,"
200,1,Genesis,8,16,"Go forth of the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee."
201,1,Genesis,8,17,"Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth."
202,1,Genesis,8,18,"And Noah went forth, and his sons, and his wife, and his sons' wives with him:"
203,1,Genesis,8,19,"Every beast, every creeping thing, and every fowl, and whatsoever creepeth upon the earth, after their kinds, went forth out of the ark."
204,1,Genesis,8,20,"And Noah builded an altar unto the LORD; and took of every clean beast, and of every clean fowl, and offered burnt offerings on the altar."
205,1,Genesis,8,21,"And the LORD smelled a sweet savor; and the LORD said in his heart, I will not again curse the ground any more for man's sake; for the imagination of man's heart is evil from his youth; neither will I again smite any more every thing living, as I have done."
206,1,Genesis,8,22,"While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease."
207,1,Genesis,9,1,"And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth."
208,1,Genesis,9,2,"And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air, upon all that moveth upon the earth, and upon all the fishes of the sea; into your hand are they delivered."
209,1,Genesis,9,3,Every moving thing that liveth shall be meat for you; even as the green herb have I given you all things.
210,1,Genesis,9,4,"But flesh with the life thereof, which is the blood thereof, shall ye not eat."
211,1,Genesis,9,5,"And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man's brother will I require the life of man."
212,1,Genesis,9,6,"Whoso sheddeth man's blood, by man shall his blood be shed: for in the image of God made he man."
213,1,Genesis,9,7,"And you, be ye fruitful, and multiply; bring forth abundantly in the earth, and multiply therein."
214,1,Genesis,9,8,"And God spake unto Noah, and to his sons with him, saying,"
215,1,Genesis,9,9,"And I, behold, I establish my covenant with you, and with your seed after you;"
216,1,Genesis,9,10,"And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you; from all that go out of the ark, to every beast of the earth."
217,1,Genesis,9,11,"And I will establish my covenant with you, neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth."
218,1,Genesis,9,12,"And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:"
219,1,Genesis,9,13,"I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth."
220,1,Genesis,9,14,"And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:"
221,1,Genesis,9,15,"And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh."
222,1,Genesis,9,16,"And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth."
